Dataset	Clipped	1																														
Well Number	Reporter	Rn	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
11	Sample.11		-0.05522252	0.064339628	0.189497292	-0.214207563	-0.199517275	-0.55015984	0.014581544	0.024918334	0.097400046	0.235562964	0.217309536	0.434025529	0.695273846	0.889705011	2.047363213	2.770117075	4.507046271	6.250346794	7.723789811	9.451193734	10.2611772	10.88994587	11.00938498	11.07162606	11.29497601	10.72492399	11.17063141	11.22674574	11.08940279	11.25541344
12	Sample.12		-0.083506046	0.164602503	0.179586125	-0.101837409	0.083273902	-0.053794548	0.025984892	-0.35230261	0.339405299	0.153972507	0.21335515	-0.063799034	0.331216322	0.77513529	1.544362317	2.688285293	4.425385962	6.3975883	8.033070239	9.317579345	10.02446169	10.53804801	11.03141735	11.1273529	11.01450246	11.64808506	11.17839026	11.34361465	11.17346476	11.39616673
13	Sample.13		-0.307065309	0.003109169	-0.081309904	-0.114532999	-0.005685912	-0.003221734	-0.353854534	0.169384633	0.109402501	-0.16365113	0.130145689	0.139235145	0.359854882	0.906861198	1.600210409	3.069373749	4.278062708	6.5772967	8.314917084	9.527484846	10.21272951	10.76984369	10.59729162	11.32713775	11.26251234	11.52344259	11.72524694	10.99015589	11.14065821	11.21655957
14	Sample.14		-0.125253398	0.071410155	0.055071638	0.106197113	0.108499696	-0.141306828	0.214621927	0.01897898	0.332864546	0.262786618	0.181249018	-0.118576296	0.364111867	0.880965091	1.379935175	2.807781843	4.283302985	6.361400601	7.965870658	9.815069857	10.28623925	10.64792923	10.84867664	11.37354911	11.82492624	10.82462328	10.95536445	11.11257058	11.20922881	11.18930619
15	Sample.15		0.158065564	0.070559789	0.001290934	-0.134918169	0.157126216	0.167206585	0.2802882	0.374974307	0.3137702	0.15248271	0.106017112	0.182568876	0.323770961	0.688012943	1.77205482	2.870616885	4.945427064	6.441221015	7.894828755	9.243661028	10.11995852	10.68823973	10.89672742	10.98837366	11.28783438	10.65769043	11.40475152	11.22460854	11.12185881	10.89628459
16	Sample.16		0.043634444	0.032793093	-0.105157248	0.161486726	0.330722476	-0.125272788	-0.150528963	-0.262536063	-0.253292912	0.079067515	-0.186153222	-0.003785038	0.645376796	0.840649751	1.310927373	2.539937937	4.558661318	6.50004489	8.443433064	9.537999443	9.844327527	10.70313742	11.04608843	11.4042712	10.88491173	11.199203	11.27232616	11.42051329	11.39774774	11.5351383
17	Sample.17		-0.323389975	0.030393346	-0.072559099	0.328439956	0.208565161	0.014558074	-0.085984051	0.082294221	-0.01211037	0.073044478	0.243326455	0.322747696	0.435202789	0.811201875	1.788696042	2.719976089	4.683868826	6.585795735	7.657932982	9.467774926	10.28041756	10.93176322	11.04720659	11.40315335	11.5538631	11.30121734	11.49979527	11.27581066	11.54446848	11.62905741
18	Sample.18		-0.091278824	0.129553627	0.167360568	0.321671958	0.03334905	-0.066046617	0.040574596	0.083671916	0.048133899	0.052512455	0.538516701	-0.190864426	0.178147918	0.79285772	1.596786159	2.618506679	4.289484704	6.334835566	8.236991838	9.465447983	10.26071416	10.56065692	10.77052418	10.98963538	11.35163343	11.21698033	11.04190393	11.23199337	11.25737203	11.43744411
19	Sample.19		0.073999378	-0.005517488	-0.071376089	-0.346293666	0.428915715	0.094782821	-0.113925404	-0.122547534	0.058787185	0.071284657	0.217236525	0.101871301	0.356405323	0.456980931	1.568675642	2.946601813	4.591384521	6.305504837	8.405469037	9.602686499	10.14273834	10.86255366	10.90447389	11.19223091	11.17992048	11.0385778	11.23338956	11.53944895	11.41538994	11.15241365
20	Sample.20		0.022391342	0.361086662	0.007784504	0.238155735	0.204342158	0.368543034	-0.010421014	0.181709225	0.012565847	0.144374634	-0.17116646	0.324174683	0.248421254	0.82825595	1.485772165	2.745179658	4.614292292	6.393898137	8.194266593	9.09070966	10.0618134	10.45896694	10.83365537	11.18972766	10.99875065	11.18798471	11.34155681	11.69371844	11.22842335	11.44358701
21	Sample.21		0.034957601	-0.184072111	0.288691382	0.035785794	-0.035708049	-0.070564937	0.199590385	0.204817962	0.317118421	0.287678039	-0.089111941	0.152896061	0.409750911	1.001004521	1.371743094	2.513700716	4.626081911	6.052598083	8.571893117	9.481631309	9.936425664	10.68451862	11.35363114	11.2240166	11.18399779	11.23607711	11.45882983	11.69610458	11.15310931	11.15255239
22	Sample.22		-0.101216889	0.201156062	0.281002691	0.080365863	0.01668652	0.286603243	-0.049594337	0.640605518	-0.356235119	0.138834897	0.452218967	0.200812969	0.382248759	1.029606872	1.872805708	2.82852325	4.539300405	6.638152694	8.113747543	9.069271855	10.51184322	10.49109143	11.17191425	11.08478614	10.9660217	11.45350969	11.28996922	11.4476805	11.59101358	11.18388435
23	Sample.23		-0.430825964	0.222640318	0.243163334	-0.19107319	-0.155747086	0.209049065	0.091482333	0.171176067	-0.172315082	-0.070004367	0.096533759	0.244276795	0.395707746	0.907628372	1.686270767	2.71451109	4.34739713	6.841941046	8.339506126	9.573095993	9.996731046	10.80309649	10.72448872	10.86086615	11.24876201	11.38600349	11.17972303	11.48710417	11.52405577	11.7724084
24	Sample.24		0.141149929	0.154003951	0.090109019	0.005447401	0.010294282	0.301705632	-0.09621659	0.288548639	0.24132445	0.256706969	-0.07987287	0.162555867	0.499130833	0.452478029	1.61631033	2.6123414	4.547785706	6.533101097	8.157877573	9.320717121	10.22829235	10.59576179	10.84170901	11.02467658	11.10523729	11.34767174	11.30105719	11.01449547	11.12324507	11.43944074
25	Sample.25		-0.20143894	-0.229254961	-0.237981907	-0.07771805	0.076430919	0.069417982	0.121259922	-0.262719499	-0.425079401	0.086961386	0.296244882	-0.113769082	0.221584952	0.896131969	1.796177496	2.786788226	4.238329667	6.38335185	8.266304149	9.315397807	9.8778899	10.70050604	11.06763023	11.20711147	11.18970627	11.23918446	11.46610968	11.0721896	11.63125451	11.81626802
26	Sample.26		0.134052806	0.336396941	0.095292839	-0.217453034	0.007576982	0.175697702	0.427936098	0.037251983	0.317426456	0.203724294	0.216561965	0.169520596	0.457884542	0.615020762	1.610883804	2.508015894	4.214238108	6.104140316	8.277944339	8.91728185	10.16386253	10.82809987	11.1273572	11.34217161	11.14957867	11.41124643	11.40570786	11.27383316	10.97447686	11.02638379
27	Sample.27		-0.035501638	0.222438658	-0.205653067	-0.290510717	-0.24877076	0.205657247	-0.112607618	0.25778718	0.090752536	0.095717508	0.076477841	0.180347579	0.701274583	1.075302303	1.924722721	3.230695963	4.131352875	6.690024786	8.306299062	9.582355906	10.23631403	10.5891532	10.85435352	11.02535417	11.1673858	11.60213186	11.13003156	11.31462431	11.09626886	11.06429441
28	Sample.28		0.092604893	0.089527459	0.038111176	0.432963168	0.045737999	0.040142995	-0.106225643	-0.269662745	0.143288424	-0.003136974	0.398656382	0.013611439	0.430441734	0.736100155	1.78990654	2.860772378	4.665409347	6.571391197	7.830908393	9.068171844	9.972004517	10.51191092	11.09521052	11.25970977	11.04834312	11.160311	11.03355449	11.19611399	11.6365637	11.36075835
29	Sample.29		0.023953944	0.519621686	-0.088847919	0.104913611	0.114774272	0.035912985	0.127187706	-0.140750924	0.199381158	0.181422237	0.126779353	0.479934288	0.456266908	0.988759155	1.588452012	2.730345132	4.360179548	6.499483456	7.921764108	9.335272041	9.861465379	10.83211585	10.85579253	11.10530186	10.82170311	11.06771372	11.22830159	11.06944763	11.29614474	11.29782804
30	Sample.30		0.245701999	0.304509161	-0.01953469	0.33552698	0.255514274	-0.000883635	-0.17685162	0.156999213	0.07556221	-0.063447405	-0.047700867	0.23361598	0.255406443	0.721949761	1.231444244	3.105552944	4.442242487	6.436320273	7.921812561	9.087419181	10.38872863	10.52070532	11.25036466	11.00700426	11.27041787	11.34111575	11.40970846	11.46104503	11.41829168	11.96559816
31	Sample.31		0.109804669	-0.085112858	0.251549141	0.350785868	0.130329882	-0.169829083	0.110403653	0.012921623	-0.075024437	0.088315481	-0.043676018	0.255792184	0.468655247	1.401050119	1.582029067	2.777792278	4.472870658	6.598780977	8.111661648	9.531428418	10.37305758	10.62774057	11.25217443	11.32728966	11.18961709	11.24257745	11.21415942	11.51149481	11.09468217	11.35999856
32	Sample.32		-0.207613648	0.193247125	0.311928949	-0.09840476	-0.077503801	0.531760582	0.096975465	0.263996868	-0.242793432	0.057343286	0.211571166	0.153563839	0.379007146	0.713896055	1.32257819	2.902185088	4.64741305	6.806744089	8.267755422	9.434818943	10.29776117	10.90151063	10.82486786	11.16363451	11.30335172	10.98151954	10.98976763	11.27019451	11.18214271	11.31203704
33	Sample.33		0.030759784	-0.084928925	0.556616937	-0.000872278	0.131740434	0.331531239	-0.18691442	0.103795324	-0.104360912	0.194983006	-0.092096006	0.063651065	0.504378052	0.893434645	1.759698591	2.802589026	4.241220766	6.259469504	8.300401546	9.329269597	10.15969159	10.68502815	11.06215477	10.91011908	11.2713981	11.4738571	11.21483552	11.24539861	11.03593363	11.60538219
34	Sample.34		-0.313001114	-0.168268416	0.149231235	-0.050978616	0.190992882	-0.103927846	0.124435628	0.358338178	0.113659731	-0.360202277	-0.031957098	-0.098926262	0.366171586	1.104708149	1.534650542	2.637819456	4.765614504	6.341920769	8.444686276	9.225373983	9.885594825	10.69881596	11.10389262	11.2687292	11.03724498	11.2917648	11.07426079	11.4361962	11.2098128	11.39544187
35	Sample.35		-0.25595725	0.102983381	-0.014426914	-0.240201269	-0.096939588	-0.003264745	0.483946054	0.071164744	-0.309170366	-0.444896155	-0.053245013	0.394085995	0.555726172	0.844495728	1.749115454	2.388037895	4.314575354	6.179113687	8.127562415	9.850785039	10.64681595	10.57900959	11.04288311	11.2573907	11.10210674	11.32856405	11.35225727	11.58381701	11.44793851	11.03006297
36	Sample.36		-0.064143004	-0.329269101	0.139422436	0.231924173	-0.011081887	0.154691417	0.182619	-0.157292745	-0.016215913	0.467620733	0.160422252	0.078097828	0.621488546	0.937328385	2.093282504	2.953182835	4.351755846	6.54797511	8.401322964	9.362442142	10.21529038	10.63152752	10.88514884	11.13596779	11.35038953	11.30669864	11.05698016	11.25390432	11.46047466	11.44022305
37	Sample.37		0.447137664	0.169951089	0.267686672	-0.020188934	-0.206456912	0.208636191	0.134154458	-0.309687289	-0.26429853	0.211518348	0.158942098	0.162064766	0.069208466	0.623895702	1.546525206	2.576755462	4.451674859	6.265825914	8.298081916	9.411650782	10.36531317	10.59416027	11.14795915	11.33509801	11.08061003	10.87620189	11.26378333	11.24415266	11.29534778	11.24445787
38	Sample.38		-0.251176907	0.13973191	0.141887708	-0.027660083	-0.005413205	-0.230558068	0.026605687	0.128162459	0.136946603	0.162555348	0.554287392	0.189509662	0.062014492	0.450544605	1.471178494	2.815184856	4.177245775	6.301164273	7.743041178	9.659915864	10.51491807	10.62006499	10.59590896	11.17273851	11.54438797	11.13018576	11.80197756	11.16597909	11.17620959	11.06449609
39	Sample.39		0.049813897	0.053183574	0.327577428	-0.019856128	0.074951644	0.126647202	-0.260834901	-0.023074781	-0.282369407	0.204763862	0.171781013	0.723974565	0.558977894	0.627324809	1.604826735	2.871150157	4.124398578	6.452914443	8.464643046	9.573701163	10.56899662	11.02081988	10.81499148	10.72038715	10.96637151	11.59611746	11.04098387	11.60320939	11.4444312	11.15345293
40	Sample.40		0.089248798	-0.22182573	-0.420614363	-0.105206372	0.341918883	0.069763153	-0.109602169	0.191144663	-0.352870993	0.056637795	0.02975362	0.288711197	0.446039437	1.102053916	1.801321605	3.237049096	4.906304467	6.284850066	8.013187079	9.513126658	9.974232067	10.47239121	11.19586852	11.44466179	11.33632179	11.24647816	11.38989645	11.41093262	11.2666802	11.36262883
41	Sample.41		0.394263519	-0.177476633	0.380237741	-0.184055322	0.04001544	0.206928398	0.289709545	0.144453869	0.136215195	0.089258433	0.037826088	0.571064454	0.552250159	0.892662642	1.379780987	2.466000925	4.431370494	6.086879463	8.128548754	9.201751721	10.28035223	10.81767173	11.08301494	10.91663617	10.92447893	11.56122114	11.22199042	11.30207148	11.14179168	11.49823276
42	Sample.42		-0.27256068	0.286010632	-0.158524355	-0.395701119	0.13946571	0.22801749	-0.368718662	-0.049771408	0.075219654	-0.061667842	0.492323207	0.191592472	0.629444329	0.937714437	1.644541029	2.842570669	4.823155478	6.426360227	8.186817272	9.345052581	9.747931361	10.5859066	11.49505681	11.050585	11.07194329	11.25049131	11.53787358	11.22647576	11.44615262	11.45241058
43	Sample.43		0.028440283	-0.135480031	0.320122628	0.275655143	-0.42755568	0.113970631	0.011323212	-0.2335806	0.149165451	0.16623208	-0.067799736	0.180744052	0.704389739	0.718620955	1.46148709	2.521158139	4.217160518	6.254834972	8.179726718	9.532874847	10.36616719	10.71147723	11.1902499	11.03600546	11.43575941	10.90642648	11.04521398	11.87544092	11.39865733	11.66849058
44	Sample.44		-0.085677874	0.380108726	0.111668182	0.004932104	0.031413314	-0.297894455	-0.041665532	0.286887828	0.470522149	0.175376769	0.313931747	-0.133418962	0.735148241	1.003113972	1.344757243	3.20945281	4.082118263	6.356203667	8.014630666	9.563386675	10.16115072	10.68664705	10.85915343	11.05902108	10.94990883	11.13812508	11.27231375	11.19490638	11.15659254	11.27532604
45	Sample.45		0.360215079	0.074200772	-0.265304406	0.016936533	0.179887795	0.139244593	-0.429121405	0.052872127	-0.126318125	0.320520816	-0.187070116	0.436524959	0.517245623	1.298524206	1.488992498	2.811530704	4.6835928	6.095109693	8.481554839	9.271414906	10.37074082	10.84884299	10.9252598	11.25132648	11.29048951	11.12250362	11.35989612	10.7057691	11.16617847	11.42200765
46	Sample.46		0.399273458	0.175033327	0.350521779	0.155764008	0.092881283	0.065507267	-0.122494932	0.256936383	-0.020913669	0.02717248	0.363840126	0.122162237	0.287256124	0.640818893	1.559331443	2.767840812	4.19429363	6.309526629	8.368981303	9.451686693	10.17360962	10.56897205	11.0675542	11.17678289	11.08562209	11.13924641	10.79910763	11.43081192	11.77923712	11.12317869
47	Sample.47		-0.272606967	0.069141751	0.231701391	-0.115150361	-0.063494598	0.038608682	-0.196679499	-0.031347618	0.247400478	0.185200202	0.359486503	0.150902049	0.341542084	0.792716367	1.657123264	3.000091001	4.194514906	6.401310068	8.367505588	9.405068572	10.20642178	10.57726753	10.82962281	10.97336344	11.45003583	11.34692659	10.77360323	11.15375802	10.97508067	11.3230288
48	Sample.48		0.082284613	0.248137873	0.017677809	0.022019933	0.057458496	0.210028835	-0.11208378	0.186091432	-0.054730512	-0.075388406	0.240748702	0.394487417	0.206416885	0.76780335	1.576506124	2.731736445	4.816587778	6.385929306	8.389234782	9.405001525	10.01044276	10.93011791	10.92222678	11.48918615	11.16946653	11.42565114	11.21612985	11.39873694	11.3936615	11.22226127
49	Sample.49		-0.280307821	-0.1278357	-0.067144117	0.00080382	-0.047313918	-0.337061291	-0.021164122	0.043228495	0.37162967	0.292953783	-0.15111297	0.167297063	0.352010408	0.934692612	1.484465598	2.81281834	4.684016036	6.320709454	7.975622269	9.878854402	10.61282796	10.73461054	11.01190789	10.99405773	11.3998921	11.26661829	11.16364835	11.22248063	11.33798915	11.4662189
50	Sample.50		-0.051122401	-0.350627952	0.192822488	0.129598149	0.250644732	-0.074064226	-0.097518083	-0.146203765	-0.131866051	0.082910459	0.312088943	0.372775576	0.461698163	0.489551423	1.718635176	2.961685717	4.57158243	6.537422797	7.772842285	9.432876113	10.27431357	10.79557507	10.85744354	10.84593418	10.85182833	11.04556296	11.57246267	11.18956102	11.41589978	11.09732352
51	Sample.51		-0.162455997	0.394811943	-0.188334798	0.263963024	0.050970084	0.398904776	-0.055487422	0.057816989	0.103512903	0.121453595	-0.08128878	0.293650475	0.559449367	1.109607302	1.661552527	2.306734841	4.324166235	6.028699439	7.996403645	9.546898354	10.32833553	10.26326063	10.70514754	10.69571109	11.17067929	11.42675272	11.25751821	11.14460479	11.30253735	11.10105146
52	Sample.52		0.244240759	-0.217312801	-0.043162598	0.155619713	-0.183233774	0.147575665	0.385219173	0.215423811	0.015183792	0.108767234	0.373482121	0.315498124	0.359505025	0.862792638	1.545415866	2.652603124	4.435995273	6.080078352	8.35931793	9.565891121	10.22644251	10.50995633	11.16985102	11.17298411	10.96518341	11.12462506	11.40229862	11.27739676	11.6534282	11.38790232
53	Sample.53		0.139677756	0.172542689	0.095468265	0.08138689	-0.268832948	0.12182379	-0.217616934	-0.06678716	-0.045999208	-0.168389059	0.173052633	0.259605456	0.473263311	0.936046361	1.890915602	2.424249452	4.118021451	6.53238989	7.936609755	9.796273408	10.25617642	10.64991402	11.0690805	10.99069084	11.07692441	11.45536753	11.35860842	11.13702371	11.02039019	11.36815372
54	Sample.54		0.008775332	-0.044269389	-0.336208356	-0.060734096	0.106004963	0.279206097	-0.144088934	0.001748247	-0.132729925	0.188846424	0.228418825	0.373188358	0.761173557	1.222070776	1.673546467	2.634759697	4.650038984	6.331988532	8.252582261	9.338575824	10.2505697	10.5476913	11.03037341	11.31546729	11.45982873	11.35453117	11.70911038	11.01164992	11.3193991	11.13673292
55	Sample.55		-0.018026787	0.167503367	0.049755715	0.047714335	0.045083832	0.233218011	-0.069355251	0.141749563	0.384091902	-0.118461833	-0.012127771	-0.03618567	0.255078914	0.667705819	1.879883623	2.628436889	4.360131981	6.520112135	8.410531305	9.822805579	10.30079729	10.81476364	10.7916184	11.21923759	11.47349993	11.58637493	11.38006516	11.26860545	11.16018052	11.56728373
56	Sample.56		-0.306967249	-0.130324498	-0.141116267	0.110223144	-0.224117974	0.332555714	-0.142231052	0.134046215	0.433065075	0.082081855	0.605201462	0.127863822	0.537288892	0.845995726	1.577661514	2.769924025	4.271770982	6.331612087	8.175403842	9.342558393	10.1410899	10.64368613	10.48094798	10.66271055	11.43086868	11.48211877	11.19332408	11.39844209	11.48080138	11.04589974
57	Sample.57		0.104151392	-0.235675532	0.077077904	0.144962117	-0.112766697	-0.254011404	-0.356687525	-0.046525518	-0.049649791	0.212799231	0.00205463	-0.002266998	0.539028157	0.839281363	1.501687335	3.035921443	4.47216744	6.335477266	8.271106987	9.316995655	10.21336831	10.8770424	10.86891785	11.24162783	10.84621222	11.06483539	11.25777419	11.1880305	11.36594605	11.45272759
58	Sample.58		-0.126781073	-0.091919918	-0.144128699	-0.226313072	0.14090985	0.081435389	0.159189178	0.147544973	0.36914489	-0.01370575	-0.263319198	0.381671643	0.261455468	0.70071518	1.118660764	2.723201606	4.21016704	6.475740338	7.641451004	9.545729966	10.18483692	10.5532284	10.72095855	11.01376463	11.28551981	11.07018247	11.31757063	11.13874736	11.22598057	11.00961227
59	Sample.59		0.126300392	-0.020508737	-0.106849379	0.188940527	-0.062178561	0.386623863	0.05889367	0.190959898	0.090644873	0.173282414	-0.001230066	0.157008223	0.419756689	0.978399989	1.661362894	2.681400519	4.224982651	6.301836385	8.227045654	9.366075071	10.44045775	10.86519984	10.88546698	11.18089053	11.32293399	10.9877992	11.00022803	10.9766544	11.79166483	11.17361977
60	Sample.60		-0.407866565	-0.11268739	0.09437543	0.103331894	-0.018596044	0.060563379	-0.019356517	-0.255862098	0.071551352	0.034845653	0.28851105	-0.02989088	0.624750662	0.972452624	1.322826749	2.676764048	4.427374346	6.493441754	7.879549305	9.245778741	9.828221996	10.81543554	11.07468395	11.24369461	11.3325538	11.23990351	11.25001975	11.21279897	11.54296884	11.11720966
61	Sample.61		-0.143158124	-0.075876791	0.142319439	0.112271763	0.128521474	-0.160176718	0.200702589	-0.003661885	-0.585753659	0.223867396	0.301913997	0.330162934	0.655468907	0.73593078	1.383633105	2.628332089	4.352154223	6.545550224	8.120662719	9.501456396	10.21885944	10.78914452	11.04356375	11.31318565	11.25855009	11.44225896	11.08998795	11.3868257	11.34057242	11.42574593
62	Sample.62		-0.268912565	0.09045717	-0.069700287	-0.19841722	-0.197781685	-0.13264307	-0.118618208	-0.040126023	-0.001088847	0.18786012	0.137929828	0.047324495	0.389931789	1.164906236	1.557900739	2.707911422	4.534906136	6.000397878	8.183914935	9.667991767	10.1790903	10.69413739	10.87473429	11.20297459	11.04610425	11.19189657	11.39292134	11.35261293	11.24797143	10.84348689
63	Sample.63		-0.119022697	-0.089631487	-0.149921144	0.352254546	-0.217718853	0.22025451	0.072534524	0.235309251	0.150983892	-0.013499669	0.388054865	0.194811398	0.804934871	1.103699315	1.752754007	2.767630977	4.609203876	6.450711737	7.805866488	9.166343133	10.48621323	10.50213814	11.00451751	11.21917985	10.86134573	11.07633696	11.39878547	11.57014955	11.35964788	11.18799886
64	Sample.64		0.021396606	-0.265276854	-0.023896464	-0.227275917	0.232839387	0.03754286	0.219309766	0.411251958	0.235327343	0.147483865	0.059497943	-0.19645133	0.195022914	0.987785843	1.600200729	2.691505796	4.24464188	6.660692244	8.360241279	9.053590418	10.2779608	11.03828052	11.10206475	10.81270386	11.10026899	11.42260263	11.368833	11.12932472	11.47279917	11.23187649
65	Sample.65		-0.196087635	0.202238397	-0.107914403	0.301734663	-0.151143286	0.108656181	0.282089952	0.148471732	0.019757894	0.342160234	0.030961292	0.263574149	0.311494466	0.791594993	1.635637702	2.892468359	4.420167527	6.260404982	8.367651282	9.617264252	10.46618011	10.80777059	11.09930025	10.79201645	11.04050091	11.04456827	11.08177327	11.33945308	10.98128877	11.14261257
66	Sample.66		-0.302889059	-0.273819258	-0.108944423	0.062832437	-0.236991349	0.194511648	0.045800766	-0.078461842	-0.127141295	-0.220923687	0.356154608	0.157659815	0.470506985	0.669977817	2.02953891	2.959225484	4.570219536	6.186623019	8.182319843	9.334320707	10.48429127	10.66609094	10.93898512	11.07349372	11.03903641	11.26246222	11.39078653	11.15121114	11.27443484	11.17765702
67	Sample.67		0.067358902	0.032325477	-0.082661287	-0.180509759	-0.307301346	-0.096324281	0.342301526	0.169167703	-0.017930332	0.220216209	-0.19148576	0.448842184	0.532119245	0.750130784	1.647719524	2.74781937	3.98242327	6.192764267	7.797683686	9.270165987	9.905050632	11.01768655	10.98438996	11.23483002	10.77472019	11.03916034	11.28902195	11.32501179	11.37865438	11.11364304
68	Sample.68		-0.248055482	-0.252482699	0.136513889	-0.050246198	0.021544752	-0.075802686	-0.388122554	-0.236567064	0.482559113	-0.01137216	0.017580303	0.109549833	0.464879384	0.712370874	1.515332693	2.505606869	4.571692776	6.352926411	8.065546912	9.542448716	9.948204573	10.69086662	11.05154861	11.18608303	11.10571357	11.14970704	11.29223186	11.55253685	11.44762263	11.00002622
69	Sample.69		-0.097131447	0.068031257	-0.062045107	0.087934603	-0.112229444	-0.021552061	-0.219214643	0.295768388	0.053517602	0.008212429	0.185979322	0.572483935	0.395332184	1.033037358	1.634529139	2.539102618	4.46132986	6.521380537	8.195397923	9.553625744	10.42961746	10.59853362	11.06792385	11.19435204	11.12197892	11.37150615	11.29683375	11.46545303	11.26197399	10.96419444
70	Sample.70		0.103443522	0.069328675	-0.001720544	-0.431782751	-0.421711081	0.13986191	-0.00060222	-0.402785229	0.163454642	0.139771117	-0.031334341	0.246935258	0.265788589	0.582611016	1.586705187	2.77997355	4.658255795	6.499892014	7.856063763	9.391571105	10.34530182	10.49909475	10.67324655	10.81488335	11.17885598	11.25111466	11.45083666	11.46811676	11.05768103	11.09555089
71	Sample.71		0.133746588	-0.290333335	0.072741496	-0.183341881	-0.034911515	0.203953513	0.375885866	0.211741129	0.110044607	0.073125442	-0.049591902	0.320580916	0.535999923	0.635700818	1.310747705	2.918399927	4.377921544	6.116052268	8.245035719	9.303169525	10.36523656	10.10960198	10.92443735	11.26066581	11.32546299	11.27474123	11.30891984	11.50918866	11.10755067	11.48792029
